feature,mean_abs_shap
card,0.13429864303837205
transfer,0.06656183938899408
account,0.04116066152774492
pin,0.03200159703895185
payment,0.0266846067529558
transaction,0.026426661809823365
cash,0.025589961653026436
pending,0.024273306754079536
fee,0.0227183851128737
atm,0.022614373043456804
money,0.021207526942009686
app,0.019842960560009226
exchange,0.01730337856190152
need,0.014918940088712957
charged,0.013616348521477025
want,0.012957575640606534
new,0.012280844037052263
change,0.011913961671237096
didn,0.010774807611419383
currency,0.010583905403978255
