common_taxonomy_bucket,cfpb_row_count,banking77_row_count,cfpb_fraction,banking77_fraction
OUT_OF_SCOPE_NO_BANKING77_OVERLAP,979865,0,0.934472975228286,0.0
CARD_ISSUANCE_AND_LIFECYCLE,32495,2370,0.030989676465679614,0.18115111213024535
ATM_CASH_WITHDRAWAL,27952,1363,0.02665712991440765,0.10418099824199342
TRANSFERS,8263,2032,0.007880218391626732,0.15531605900787282
FX_AND_EXCHANGE,0,806,0.0,0.0616066651379653
ACCOUNT_MANAGEMENT,0,580,0.0,0.04433233967744401
IDENTITY_AND_ACCOUNT_VERIFICATION,0,1373,0.0,0.10494534892608728
TOP_UP_AND_WALLET,0,1632,0.0,0.12474203164411832
CARD_PAYMENT_ISSUES,0,2014,0.0,0.15394022777650385
FRAUD_AND_DISPUTES,0,913,0.0,0.06978521745776962
